0.01,0.755
0.02,0.755
0.03,0.754
0.04,0.749
0.05,0.739
0.06,0.724
0.07,0.706
0.08,0.688
0.09,0.671
0.1,0.657
0.11,0.646
0.12,0.636
0.13,0.628
0.14,0.621
0.15,0.614
0.16,0.608
0.17,0.605
0.18,0.605
0.19,0.605
0.2,0.605
0.21,0.605
0.22,0.605
0.23,0.605
0.24,0.605
0.25,0.605
0.26,0.605
0.27,0.605
0.28,0.605
0.29,0.605
0.3,0.605
0.31,0.606
0.32,0.606
0.33,0.606
0.34,0.606
0.35,0.606
0.36,0.606
0.37,0.606
0.385,0.606
0.408,0.606
0.441,0.607
0.491,0.607
0.541,0.608
0.591,0.609
0.641,0.61
0.691,0.611
0.741,0.612
0.791,0.613
0.841,0.614
0.891,0.615
0.941,0.617
0.991,0.618
1.041,0.62
1.091,0.621
1.141,0.623
1.191,0.624
1.241,0.626
1.291,0.628
1.341,0.63
1.391,0.632
1.441,0.634
1.491,0.637
1.541,0.639
1.591,0.641
1.641,0.644
1.691,0.646
1.741,0.649
1.791,0.652
1.841,0.654
1.891,0.657
1.941,0.66
1.991,0.663
2.041,0.666
2.091,0.669
2.141,0.672
2.191,0.675
2.241,0.679
2.291,0.682
2.341,0.685
2.391,0.688
2.441,0.692
2.491,0.695
2.541,0.699
2.591,0.702
2.641,0.705
2.691,0.709
2.741,0.712
2.791,0.716
2.841,0.719
2.891,0.723
2.941,0.726
2.991,0.728
3.041,0.73
3.091,0.732
3.141,0.734
3.191,0.737
3.241,0.739
3.291,0.741
3.341,0.743
3.391,0.746
3.441,0.753
3.491,0.759
3.541,0.761
3.591,0.762
3.641,0.76
3.691,0.757
3.741,0.753
3.791,0.748
3.841,0.744
3.891,0.743
3.941,0.742
3.991,0.74
4.041,0.739
4.091,0.738
4.141,0.737
4.191,0.736
4.241,0.735
